date,var,depth,site,value
2021-11-02,smc,300,600409,40.9
2021-11-02,smc,300,600410,37.8
2021-11-02,smc,300,600411,38.2
2021-11-02,smc,300,600413,38.3
2021-11-02,smc,450,600409,38.6
2021-11-02,smc,450,600410,36.7
2021-11-02,smc,450,600411,45.4
2021-11-02,smc,450,600413,38.7
2021-11-02,smc,600,600409,40.7
2021-11-02,smc,600,600410,34.8
2021-11-02,smc,600,600411,47.5
2021-11-02,smc,600,600413,32
2021-11-02,smc,750,600409,39
2021-11-02,smc,750,600410,33.5
2021-11-02,smc,750,600411,45.2
2021-11-02,smc,750,600413,28.6
2021-11-02,smc,900,600409,38.8
2021-11-02,smc,900,600410,39.5
2021-11-02,smc,900,600411,41.5
2021-11-02,smc,900,600413,34
2021-11-02,temp,035,600409,7.2
2021-11-02,temp,035,600410,8.4
2021-11-02,temp,035,600411,8.3
2021-11-02,temp,035,600413,8.3
2021-11-02,temp,100,600409,8.2
2021-11-02,temp,100,600410,8.7
2021-11-02,temp,100,600411,8.6
2021-11-02,temp,100,600413,8.6
2021-11-02,temp,200,600409,8.2
2021-11-02,temp,200,600410,9.2
2021-11-02,temp,200,600411,8.7
2021-11-02,temp,200,600413,8.6
2021-11-02,temp,300,600409,8.1
2021-11-02,temp,300,600410,9
2021-11-02,temp,300,600411,8.7
2021-11-02,temp,300,600413,8.8
2021-11-02,temp,400,600409,8.2
2021-11-02,temp,400,600410,8.6
2021-11-02,temp,400,600411,8.6
2021-11-02,temp,400,600413,9
2021-11-02,temp,500,600409,8
2021-11-02,temp,500,600410,8.6
2021-11-02,temp,500,600411,8.7
2021-11-02,temp,500,600413,8.6
2021-11-02,temp,600,600409,8.1
2021-11-02,temp,600,600410,8.6
2021-11-02,temp,600,600411,8.8
2021-11-02,temp,600,600413,8.8
2021-11-03,smc,300,600409,40.9
2021-11-03,smc,300,600410,37.8
2021-11-03,smc,300,600411,36.1
2021-11-03,smc,300,600413,38.2
2021-11-03,smc,450,600409,38.8
2021-11-03,smc,450,600410,36.8
2021-11-03,smc,450,600411,45.5
2021-11-03,smc,450,600413,38.7
2021-11-03,smc,600,600409,40.8
2021-11-03,smc,600,600410,34.9
2021-11-03,smc,600,600411,47.7
2021-11-03,smc,600,600413,32.2
2021-11-03,smc,750,600409,39.1
2021-11-03,smc,750,600410,33.5
2021-11-03,smc,750,600411,45.3
2021-11-03,smc,750,600413,28.7
2021-11-03,smc,900,600409,38.9
2021-11-03,smc,900,600410,39.6
2021-11-03,smc,900,600411,41.6
2021-11-03,smc,900,600413,34.1
2021-11-03,temp,035,600409,5.4
2021-11-03,temp,035,600410,7
2021-11-03,temp,035,600411,6.9
2021-11-03,temp,035,600413,6.7
2021-11-03,temp,100,600409,7.4
2021-11-03,temp,100,600410,7.6
2021-11-03,temp,100,600411,7.4
2021-11-03,temp,100,600413,7.2
2021-11-03,temp,200,600409,7.9
2021-11-03,temp,200,600410,8.4
2021-11-03,temp,200,600411,7.9
2021-11-03,temp,200,600413,7.7
2021-11-03,temp,300,600409,7.9
2021-11-03,temp,300,600410,8.5
2021-11-03,temp,300,600411,8.2
2021-11-03,temp,300,600413,8.2
2021-11-03,temp,400,600409,8.1
2021-11-03,temp,400,600410,8.4
2021-11-03,temp,400,600411,8.5
2021-11-03,temp,400,600413,8.7
2021-11-03,temp,500,600409,8
2021-11-03,temp,500,600410,8.6
2021-11-03,temp,500,600411,8.7
2021-11-03,temp,500,600413,8.4
2021-11-03,temp,600,600409,8.1
2021-11-03,temp,600,600410,8.6
2021-11-03,temp,600,600411,8.7
2021-11-03,temp,600,600413,8.7
2021-11-04,smc,300,600409,40.9
2021-11-04,smc,300,600410,37.8
2021-11-04,smc,300,600411,35.3
2021-11-04,smc,300,600413,37.9
2021-11-04,smc,450,600409,39
2021-11-04,smc,450,600410,36.9
2021-11-04,smc,450,600411,45.5
2021-11-04,smc,450,600413,38.7
2021-11-04,smc,600,600409,41
2021-11-04,smc,600,600410,35
2021-11-04,smc,600,600411,47.7
2021-11-04,smc,600,600413,32.2
2021-11-04,smc,750,600409,39.2
2021-11-04,smc,750,600410,33.6
2021-11-04,smc,750,600411,45.4
2021-11-04,smc,750,600413,28.7
2021-11-04,smc,900,600409,39
2021-11-04,smc,900,600410,39.7
2021-11-04,smc,900,600411,41.7
2021-11-04,smc,900,600413,34.2
2021-11-04,temp,035,600409,3.9
2021-11-04,temp,035,600410,6.2
2021-11-04,temp,035,600411,5.9
2021-11-04,temp,035,600413,5.5
2021-11-04,temp,100,600409,6.7
2021-11-04,temp,100,600410,6.9
2021-11-04,temp,100,600411,6.7
2021-11-04,temp,100,600413,6.2
2021-11-04,temp,200,600409,7.6
2021-11-04,temp,200,600410,7.8
2021-11-04,temp,200,600411,7.3
2021-11-04,temp,200,600413,6.9
2021-11-04,temp,300,600409,7.6
2021-11-04,temp,300,600410,7.9
2021-11-04,temp,300,600411,7.7
2021-11-04,temp,300,600413,7.7
2021-11-04,temp,400,600409,8.1
2021-11-04,temp,400,600410,8
2021-11-04,temp,400,600411,8.1
2021-11-04,temp,400,600413,8.2
2021-11-04,temp,500,600409,8
2021-11-04,temp,500,600410,8.2
2021-11-04,temp,500,600411,8.4
2021-11-04,temp,500,600413,8.1
2021-11-04,temp,600,600409,8.1
2021-11-04,temp,600,600410,8.5
2021-11-04,temp,600,600411,8.6
2021-11-04,temp,600,600413,8.6
2021-11-05,smc,300,600409,40.7
2021-11-05,smc,300,600410,37.8
2021-11-05,smc,300,600411,35.1
2021-11-05,smc,300,600413,37.4
2021-11-05,smc,450,600409,39
2021-11-05,smc,450,600410,37
2021-11-05,smc,450,600411,45.5
2021-11-05,smc,450,600413,38.7
2021-11-05,smc,600,600409,41
2021-11-05,smc,600,600410,35
2021-11-05,smc,600,600411,47.7
2021-11-05,smc,600,600413,32.2
2021-11-05,smc,750,600409,39.4
2021-11-05,smc,750,600410,33.7
2021-11-05,smc,750,600411,45.5
2021-11-05,smc,750,600413,28.9
2021-11-05,smc,900,600409,39.1
2021-11-05,smc,900,600410,39.7
