datetime,mystery_col,smc_150_mm,smc_300_mm,smc_450_mm,smc_600_mm,smc_750_mm,smc_900_mm,temp_035_mm,temp_100_mm,temp_200_mm,temp_300_mm,temp_400_mm,temp_500_mm,temp_600_mm
10/25/2021 17:03,0,0,0,0,0,0,0,21.8,22,21.7,21.7,21.7,21.5,21.7
10/25/2021 17:33,0,0,0,0,0,0,0,22,22,22.1,22.5,22.7,22.2,22.2
10/25/2021 18:03,0,0,0,0,0,0,0,22.3,22.3,22.3,22.7,22.7,22.2,22.2
10/25/2021 18:33,0,0,0,0,0,0,0,22.6,22.5,22.5,22.7,23,22.2,22.2
10/25/2021 19:03,0,0,0,0,0,0,0,22.6,22.6,22.6,22.8,22.7,22.2,22.2
10/25/2021 19:33,0,0,0,0,0,0,0,22.7,22.7,22.6,22.8,23,22.2,22.2
10/25/2021 20:03,0,0,0,0,0,0,0,22.7,22.7,22.6,22.8,23,22.2,22.2
10/25/2021 20:33,0,0,0,0,0,0,0,23.1,23.1,23.1,23.2,23.2,22.7,22.7
10/25/2021 21:03,0,0,0,0,0,0,0,23.5,23.3,23.2,23.5,23.7,23.1,23.1
10/25/2021 21:33,0,0,0,0,0,0,0,23.6,23.6,23.5,23.7,23.7,23.2,23.2
10/25/2021 22:03,0,0,0,0,0,0,0,23.7,23.7,23.6,23.8,23.7,23.2,23.2
10/25/2021 22:33,0,0,0,0,0,0,0,23.8,23.8,23.7,24,24,23.2,23.5
10/25/2021 23:03,0,0,0,0,0,0,0,23.8,23.8,23.7,24,24.1,23.5,23.5
10/25/2021 23:33,0,0,0,0,0,0,0,24,24,23.8,24.1,24.2,23.6,23.6
10/26/2021 0:03,0,0,0,0,0,0,0,24.1,24,23.8,24.1,24.2,23.6,23.6
10/26/2021 0:33,0,0,0,0,0,0,0,24,24.1,24,24.1,24.2,23.6,23.7
10/26/2021 1:03,0,0,0,0,0,0,0,24.1,24.1,24,24.2,24.2,23.7,23.7
10/26/2021 1:33,0,0,0,0,0,0,0,24.2,24.1,24,24.2,24.2,23.7,23.7
10/26/2021 2:03,0,0,0,0,0,0,0,24.2,24.2,24.1,24.2,24.2,23.7,23.7
10/26/2021 2:33,0,0,0,0,0,0,0,24.2,24.2,24.1,24.3,24.5,23.7,23.7
10/26/2021 3:03,0,0,0,0,0,0,0,24.2,24.2,24.1,24.3,24.5,23.7,23.7
10/26/2021 3:33,0,0,0,0,0,0,0,24.2,24.2,24.2,24.3,24.5,23.7,23.7
10/26/2021 4:03,0,0,0,0,0,0,0,24.3,24.3,24.2,24.5,24.5,24,23.7
10/26/2021 4:33,0,0,0,0,0,0,0,24.3,24.3,24.2,24.3,24.5,23.7,23.7
10/26/2021 5:03,0,0,0,0,0,0,0,24.3,24.3,24.2,24.5,24.6,24,24
10/26/2021 5:33,0,0,0,0,0,0,0,24.3,24.3,24.2,24.5,24.6,23.7,24
10/26/2021 6:03,0,0,0,0,0,0,0,24.5,24.3,24.2,24.5,24.6,24,24
10/26/2021 6:33,0,0,0,0,0,0,0,24.1,24.1,24,24.2,24.2,23.7,23.7
10/26/2021 7:03,0,0,0,0,0,0,0,23.8,23.8,23.7,24,24.1,23.2,23.2
10/26/2021 7:33,0,0,0,0,0,0,0,23.6,23.6,23.5,23.7,23.7,23.2,23.2
10/26/2021 8:03,0,0,0,0,0,0,0,23.5,23.5,23.3,23.6,23.7,23.1,23.1
10/26/2021 8:33,0,0,0,0,0,0,0,23.5,23.3,23.2,23.5,23.6,23,23
10/26/2021 9:03,0,0,0,0,0,0,0,23.3,23.3,23.2,23.5,23.5,22.7,22.7
10/26/2021 9:33,0,0,0,0,0,0,0,18.5,18.8,18.8,18.7,18.7,18.2,17.7
10/26/2021 10:03,0,0,0,0,0,0,0,15.7,15.7,15.3,15.2,15.3,15,15
10/26/2021 10:33,0,0,0,0,0,0,0,14.2,14,13.7,13.3,13.5,13,13.1
10/26/2021 11:03,0,0,0,0,0,0,0,13.2,13,12.6,12.3,12.1,11.6,12
10/26/2021 11:33,0,0,0,0,0,0,0,12.7,12.3,12.1,11.8,11.6,11.1,10.8
10/26/2021 12:03,0,0,0,0,0,0,0,12.6,12.3,11.8,11.6,11.5,11,10.8
10/26/2021 12:33,0,0,0,0,0,0,0,12.8,12.3,12.1,12,11.8,11.3,11.1
10/26/2021 13:03,0,0,0,0,0,0,0,13.2,13.1,12.8,12.7,12.6,12.1,12
10/26/2021 13:33,0,0,0,0,0,0,0,14.6,14.1,13.8,14.1,14.1,13.6,13
10/26/2021 14:03,0,0,0,0,0,0,0,16.5,16,15.8,15.8,15.6,15.1,14.1
10/26/2021 14:33,0,0,0,0,0,0,0,16.1,15.8,15.6,15.5,15.1,14.5,14.1
10/26/2021 15:03,0,19.2,27.9,37.7,29.7,25.5,31.2,9.8,8.5,8.1,8.2,8.3,8,8.5
10/26/2021 15:33,0,19.5,28.2,37.7,30.1,25.7,31.6,9.2,8,7.3,7.6,7.8,7.5,7.8
10/26/2021 16:03,0,19.5,28.4,37.7,30.2,25.7,31.7,9,7.8,7.2,7.3,7.6,7.3,7.6
10/26/2021 16:33,0,19.5,28.6,37.7,30.3,26.1,31.7,8.5,7.8,7.2,7.3,7.5,7.3,7.6
10/26/2021 17:03,0,19.4,28.7,37.7,30.5,26.2,32,7.8,7.7,7.1,7.3,7.5,7.1,7.5
10/26/2021 17:33,0,19.2,28.8,37.7,30.5,26.2,32,7.2,7.6,7.2,7.3,7.5,7.1,7.5
10/26/2021 18:03,0,19.1,28.9,37.7,30.6,26.2,32.2,6.6,7.3,7.2,7.2,7.5,7.1,7.6
10/26/2021 18:33,0,19,29,37.7,30.6,26.2,32.2,6.2,7.2,7.1,7.3,7.5,7.1,7.5
10/26/2021 19:03,0,18.9,29,37.7,30.7,26.5,32.4,5.8,7,7.2,7.3,7.5,7.1,7.5
10/26/2021 19:33,0,18.8,29.1,37.7,30.7,26.5,32.4,5.5,6.8,7.1,7.2,7.5,7.1,7.5
10/26/2021 20:03,0,18.7,29.1,37.7,30.7,26.5,32.5,5.2,6.6,7.1,7.2,7.5,7,7.5
10/26/2021 20:33,0,18.6,29.1,37.7,30.7,26.6,32.5,4.8,6.5,7,7.2,7.5,7.1,7.5
10/26/2021 21:03,0,18.5,29.1,37.7,30.7,26.7,32.5,4.6,6.2,7,7.2,7.5,7.1,7.5
