,0
30.33329962368408,2021-11-02
31.11878498607706,2021-11-03
30.796125944558707,2021-11-04
30.47681243395103,2021-11-05
30.86080976569541,2021-11-06
31.240825572741393,2021-11-07
32.616901138029284,2021-11-08
35.378708690502684,2021-11-09
37.911880093520445,2021-11-10
37.91878598979477,2021-11-11
38.82562028141378,2021-11-12
39.123051947464965,2021-11-13
38.71739965582538,2021-11-14
38.3159534210633,2021-11-15
37.91866963214823,2021-11-16
37.525505130236155,2021-11-17
37.13641720398096,2021-11-18
36.75136358489451,2021-11-19
36.370302442754806,2021-11-20
37.49319238106177,2021-11-21
37.40443949361615,2021-11-22
37.01660685166239,2021-11-23
36.63279550130399,2021-11-24
36.45296374727256,2021-11-25
36.1749966014325,2021-11-26
40.0,2021-11-27
40.0,2021-11-28
40.0,2021-11-29
39.58525496202668,2021-11-30
39.17481026021645,2021-12-01
40.0,2021-12-02
39.58525496202668,2021-12-03
39.27481026021645,2021-12-04
38.86758444339724,2021-12-05
38.46458099874954,2021-12-06
38.76575614607569,2021-12-07
40.0,2021-12-08
40.0,2021-12-09
39.68525496202668,2021-12-10
39.37377339762152,2021-12-11
40.0,2021-12-12
39.58525496202668,2021-12-13
39.17481026021645,2021-12-14
38.76862130599217,2021-12-15
38.366643973098995,2021-12-16
37.9688345928107,2021-12-17
37.57514994918575,2021-12-18
37.185547274372546,2021-12-19
36.79998424396334,2021-12-20
36.41841897239633,2021-12-21
36.040810008405465,2021-12-22
35.66711633051733,2021-12-23
35.29729734259485,2021-12-24
34.9313128694271,2021-12-25
34.569123152364895,2021-12-26
34.2106888450016,2021-12-27
33.855971008898756,2021-12-28
34.60493110935602,2021-12-29
34.24612552268068,2021-12-30
33.891040256922096,2021-12-31
33.539636737464285,2022-01-01
38.491876789657006,2022-01-02
38.09276891713724,2022-01-03
40.0,2022-01-04
40.0,2022-01-05
39.58525496202668,2022-01-06
39.17481026021645,2022-01-07
38.76862130599217,2022-01-08
38.366643973098995,2022-01-09
37.9688345928107,2022-01-10
37.57514994918575,2022-01-11
37.185547274372546,2022-01-12
38.29998424396334,2022-01-13
40.0,2022-01-14
40.0,2022-01-15
40.0,2022-01-16
39.58525496202668,2022-01-17
39.17481026021645,2022-01-18
38.76862130599217,2022-01-19
38.366643973098995,2022-01-20
40.0,2022-01-21
39.58525496202668,2022-01-22
40.0,2022-01-23
40.0,2022-01-24
39.58525496202668,2022-01-25
39.17481026021645,2022-01-26
38.76862130599217,2022-01-27
38.366643973098995,2022-01-28
39.4688345928107,2022-01-29
39.25959701026176,2022-01-30
38.8525289339408,2022-01-31
38.44968159423914,2022-02-01
38.05101122791752,2022-02-02
37.65647452550137,2022-02-03
37.26602862657587,2022-02-04
36.87963111512977,2022-02-05
36.59724001494761,2022-02-06
36.217776922454654,2022-02-07
35.842248340829336,2022-02-08
35.47061347460018,2022-02-09
35.10283195128868,2022-02-10
34.73886381702347,2022-02-11
34.378669532199936,2022-02-12
34.02220996718483,2022-02-13
33.66944639806542,2022-02-14
37.82034050244276,2022-02-15
37.428195538496524,2022-02-16
37.14011657899936,2022-02-17
36.7550246024771,2022-02-18
36.373925500615485,2022-02-19
35.9967778727907,2022-02-20
35.62354074764651,2022-02-21
35.25417357864334,2022-02-22
34.88863623965353,2022-02-23
34.52688902060222,2022-02-24
34.16889262315346,2022-02-25
33.81460815644106,2022-02-26
33.46399713284366,2022-02-27
33.11702146380365,2022-02-28
32.77364345568944,2022-03-01
32.43382580570059,2022-03-02
32.09753159781546,2022-03-03
32.464724298780816,2022-03-04
35.32810971597854,2022-03-05
34.96180576083656,2022-03-06
34.59929987438921,2022-03-07
34.24055267588287,2022-03-08
33.8855251928882,2022-03-09
33.53417885706644,2022-03-10
33.186475499979494,2022-03-11
32.8423773489435,2022-03-12
32.50184702292546,2022-03-13
36.564847528482304,2022-03-14
36.18572030156508,2022-03-15
35.810524103050966,2022-03-16
35.43921817357686,2022-03-17
35.07176217639824,2022-03-18
34.7081161930072,2022-03-19
34.34824071879592,2022-03-20
33.99209665876508,2022-03-21
33.639645323276774,2022-03-22
33.290848423851486,2022-03-23
32.945668069008626,2022-03-24
32.60406676015019,2022-03-25
32.266007387487114,2022-03-26
31.931453226007847,2022-03-27
31.60036793148875,2022-03-28
31.27271553654585,2022-03-29
30.948460446727513,2022-03-30
30.62756743664767,2022-03-31
30.3100016461591,2022-04-01
29.99572857656641,2022-04-02
29.684714086878277,2022-04-03
29.37692439009854,2022-04-04
29.072326049555773,2022-04-05
31.07088597527088,2022-04-06
30.74872358067892,2022-04-07
30.429901567451427,2022-04-08
