,0
36.8,2021-11-02
36.059999999999995,2021-11-03
34.25699999999999,2021-11-04
32.54414999999999,2021-11-05
31.616942499999986,2021-11-06
30.736095374999984,2021-11-07
30.899290606249984,2021-11-08
32.45432607593748,2021-11-09
33.73160977214061,2021-11-10
32.44502928353357,2021-11-11
32.12277781935689,2021-11-12
31.216638928389045,2021-11-13
29.65580698196959,2021-11-14
28.17301663287111,2021-11-15
26.764365801227555,2021-11-16
25.426147511166175,2021-11-17
24.154840135607866,2021-11-18
22.947098128827474,2021-11-19
21.7997432223861,2021-11-20
22.20975606126679,2021-11-21
21.399268258203453,2021-11-22
20.32930484529328,2021-11-23
19.312839603028614,2021-11-24
18.54719762287718,2021-11-25
17.719837741733322,2021-11-26
23.633845854646655,2021-11-27
24.952153561914322,2021-11-28
26.904545883818603,2021-11-29
25.559318589627672,2021-11-30
24.281352660146286,2021-12-01
27.76728502713897,2021-12-02
26.37892077578202,2021-12-03
25.15997473699292,2021-12-04
23.90197600014327,2021-12-05
22.706877200136105,2021-12-06
22.2715333401293,2021-12-07
33.757956673122834,2021-12-08
32.97005883946669,2021-12-09
31.421555897493352,2021-12-10
29.950478102618685,2021-12-11
32.252954197487746,2021-12-12
30.64030648761336,2021-12-13
29.10829116323269,2021-12-14
27.652876605071054,2021-12-15
26.2702327748175,2021-12-16
24.956721136076624,2021-12-17
23.70888507927279,2021-12-18
22.523440825309148,2021-12-19
21.39726878404369,2021-12-20
20.327405344841505,2021-12-21
19.311035077599428,2021-12-22
18.345483323719456,2021-12-23
17.428209157533484,2021-12-24
16.55679869965681,2021-12-25
15.728958764673969,2021-12-26
14.94251082644027,2021-12-27
14.195385285118256,2021-12-28
14.585616020862343,2021-12-29
13.856335219819226,2021-12-30
13.163518458828264,2021-12-31
12.50534253588685,2022-01-01
17.180075409092506,2022-01-02
16.32107163863788,2022-01-03
21.505018056705985,2022-01-04
23.129767153870684,2022-01-05
21.973278796177148,2022-01-06
20.87461485636829,2022-01-07
19.830884113549875,2022-01-08
18.83933990787238,2022-01-09
17.897372912478758,2022-01-10
17.00250426685482,2022-01-11
16.152379053512078,2022-01-12
16.844760100836474,2022-01-13
25.90252209579465,2022-01-14
50.0,2022-01-15
50.0,2022-01-16
47.5,2022-01-17
45.125,2022-01-18
42.86875,2022-01-19
40.725312499999994,2022-01-20
43.189046874999995,2022-01-21
41.02959453124999,2022-01-22
40.478114804687486,2022-01-23
40.05420906445311,2022-01-24
38.05149861123046,2022-01-25
36.14892368066893,2022-01-26
34.341477496635484,2022-01-27
32.62440362180371,2022-01-28
32.49318344071352,2022-01-29
31.068524268677844,2022-01-30
29.51509805524395,2022-01-31
28.039343152481752,2022-02-01
26.637375994857663,2022-02-02
25.305507195114778,2022-02-03
24.040231835359037,2022-02-04
22.838220243591085,2022-02-05
21.79630923141153,2022-02-06
20.706493769840954,2022-02-07
19.671169081348904,2022-02-08
18.687610627281458,2022-02-09
17.753230095917385,2022-02-10
16.865568591121516,2022-02-11
16.02229016156544,2022-02-12
15.221175653487167,2022-02-13
14.460116870812808,2022-02-14
18.237111027272167,2022-02-15
17.32525547590856,2022-02-16
16.55899270211313,2022-02-17
15.731043067007473,2022-02-18
14.944490913657098,2022-02-19
14.197266367974242,2022-02-20
13.48740304957553,2022-02-21
12.813032897096752,2022-02-22
12.172381252241914,2022-02-23
11.563762189629818,2022-02-24
10.985574080148327,2022-02-25
10.43629537614091,2022-02-26
9.914480607333864,2022-02-27
9.418756576967171,2022-02-28
8.947818748118813,2022-03-01
8.500427810712871,2022-03-02
8.075406420177227,2022-03-03
8.371636099168365,2022-03-04
11.153054294209946,2022-03-05
10.595401579499448,2022-03-06
10.065631500524475,2022-03-07
9.562349925498252,2022-03-08
9.084232429223338,2022-03-09
8.63002080776217,2022-03-10
8.19851976737406,2022-03-11
7.788593779005357,2022-03-12
7.399164090055089,2022-03-13
11.429205885552335,2022-03-14
10.857745591274718,2022-03-15
10.314858311710982,2022-03-16
9.799115396125432,2022-03-17
9.30915962631916,2022-03-18
8.8437016450032,2022-03-19
8.40151656275304,2022-03-20
7.981440734615387,2022-03-21
