date,value,pcp
2021-11-02,35.099999999999994,0.3
2021-11-03,35.13,1.1
2021-11-04,35.045,0
2021-11-05,34.940000000000005,0
2021-11-06,34.885,0.7
2021-11-07,35.195,0.7
2021-11-08,35.3,1.7
2021-11-09,35.555,3.1
2021-11-10,35.67,2.9
2021-11-11,35.62,0.4
2021-11-12,35.405,1.3
2021-11-13,35.65,0.7
2021-11-14,35.559999999999995,0
2021-11-15,35.655,0
2021-11-16,35.785000000000004,0
2021-11-17,36.14,0
2021-11-18,36.195,0
2021-11-19,36.21,0
2021-11-20,36.12,0
2021-11-21,35.85999999999999,1.5
2021-11-22,35.305,0.3
2021-11-23,34.905,0
2021-11-24,35.35499999999999,0
2021-11-25,35.345,0.2
2021-11-26,34.94,0.1
2021-11-27,34.61,6.8
2021-11-28,34.275,2.5
2021-11-29,33.87,3.2
2021-11-30,33.44,0
2021-12-01,33.18,0
2021-12-02,33.64,4.7
2021-12-03,33.71,0
2021-12-04,33.775,0.1
2021-12-05,33.46,0
2021-12-06,32.855,0
2021-12-07,32.36,0.7
2021-12-08,32.045,12.6
2021-12-09,31.865000000000002,0.9
2021-12-10,31.939999999999998,0.1
2021-12-11,32.01,0.1
2021-12-12,32,3.8
2021-12-13,32.145,0
2021-12-14,32.385,0
2021-12-15,32.644999999999996,0
2021-12-16,32.79,0
2021-12-17,32.964999999999996,0
2021-12-18,33.135,0
2021-12-19,32.92,0
2021-12-20,31.83,0
2021-12-21,30.740000000000002,0
2021-12-22,30.39,0
2021-12-23,30.395000000000003,0
2021-12-24,30.074999999999996,0
2021-12-25,28.769999999999996,0
2021-12-26,27.83,0
2021-12-27,27.32,0
2021-12-28,27.095,0
2021-12-29,26.89,1.1
2021-12-30,26.875,0
2021-12-31,27.015,0
2022-01-01,27.03,0
2022-01-02,27.22,5.3
2022-01-03,27.495,0
2022-01-04,27.735,6
2022-01-05,27.75,2.7
2022-01-06,27.25,0
2022-01-07,26.835,0
2022-01-08,26.765,0
2022-01-09,26.759999999999998,0
2022-01-10,26.759999999999998,0
2022-01-11,26.869999999999997,0
2022-01-12,27.130000000000003,0
2022-01-13,27.42,1.5
2022-01-14,27.599999999999998,9.9
2022-01-15,27.415,32.8
2022-01-16,27.225,5.2
2022-01-17,27.105000000000004,0
2022-01-18,26.544999999999998,0
2022-01-19,26.564999999999998,0
2022-01-20,26.43,0
2022-01-21,25.955,4.5
2022-01-22,25.794999999999998,0
2022-01-23,25.87,1.5
2022-01-24,26,1.6
2022-01-25,26.060000000000002,0
2022-01-26,26.025,0
2022-01-27,26.14,0
2022-01-28,26.3,0
2022-01-29,26.369999999999997,1.5
2022-01-30,26.48,0.2
2022-01-31,26.13,0
2022-02-01,25.575,0
2022-02-02,25.334999999999997,0
2022-02-03,25.125,0
2022-02-04,25.135,0
2022-02-05,25.15,0
2022-02-06,25.29,0.1
2022-02-07,24.91,0
2022-02-08,24.895,0
2022-02-09,25.040000000000003,0
2022-02-10,24.99,0
2022-02-11,24.599999999999998,0
2022-02-12,24.485,0
2022-02-13,24.725,0
2022-02-14,24.910000000000004,0
2022-02-15,25.165,4.5
2022-02-16,25.415,0
2022-02-17,25.630000000000003,0.1
2022-02-18,25.839999999999996,0
2022-02-19,25.999999999999996,0
2022-02-20,26.139999999999997,0
2022-02-21,26.195,0
2022-02-22,26.25,0
2022-02-23,26.305,0
2022-02-24,26.45,0
2022-02-25,26.58,0
2022-02-26,26.605,0
2022-02-27,26.694999999999997,0
2022-02-28,26.89,0
2022-03-01,27.055,0
2022-03-02,27.22,0
2022-03-03,27.465,0
2022-03-04,27.63,0.7
2022-03-05,27.81,3.2
2022-03-06,27.955,0
2022-03-07,28.15,0
2022-03-08,28.325,0
2022-03-09,28.474999999999998,0
2022-03-10,28.634999999999998,0
2022-03-11,28.830000000000002,0
2022-03-12,29.029999999999998,0
2022-03-13,29.16,0
2022-03-14,29.33,4.4
2022-03-15,29.474999999999998,0
2022-03-16,29.684999999999995,0
2022-03-17,29.9,0
2022-03-18,30.455,0
2022-03-19,31.22,0
2022-03-20,32.464999999999996,0
2022-03-21,34.12,0
2022-03-22,34.61,0
2022-03-23,35.06,0
2022-03-24,36.61,0
2022-03-25,37.29,0
2022-03-26,37.965,0
2022-03-27,38.565,0
2022-03-28,39.044999999999995,0
2022-03-29,38.66,0
2022-03-30,38.405,0
2022-03-31,38.21,0
2022-04-01,38.24999999999999,0
2022-04-02,38.56,0
2022-04-03,38.695,0
2022-04-04,39.15,0
2022-04-05,39.04,0
2022-04-06,38.955,2.3
2022-04-07,39.11,0
2022-04-08,39.11,0
2022-04-09,38.845,0.4
2022-04-10,38.644999999999996,2.2
2022-04-11,38.290000000000006,0.3
2022-04-12,38.019999999999996,0
2022-04-13,37.97,0.2
2022-04-14,38.165,0
2022-04-15,38.015,0.2
2022-04-16,38.03,0
2022-04-17,37.885000000000005,0
2022-04-18,37.825,0.3
2022-04-19,37.535,0.1
2022-04-20,37.16,0
2022-04-21,36.8,0
2022-04-22,36.335,0
2022-04-23,35.839999999999996,0
2022-04-24,35.230000000000004,10.3
2022-04-25,34.92,20.7
2022-04-26,34.49,0
2022-04-27,34.010000000000005,1.2
2022-04-28,33.709999999999994,0
2022-04-29,33.495000000000005,1.2
2022-04-30,33.419999999999995,5.1
2022-05-01,33.355,4.7
2022-05-02,33.215,0.8
2022-05-03,32.925,0
2022-05-04,32.725,0.7
2022-05-05,32.705000000000005,0.1
2022-05-06,32.660000000000004,0
2022-05-07,32.65,0
2022-05-08,32.449999999999996,27.1
2022-05-09,32.36,0.5
2022-05-10,32.31,0
2022-05-11,32.215,0
2022-05-12,32.18,2.5
2022-05-13,32.03,1.3
2022-05-14,31.92,0.7
2022-05-15,31.75,0
2022-05-16,31.659999999999997,0.1
2022-05-17,31.515,0.1
2022-05-18,31.305,5.1
2022-05-19,31.22,0
2022-05-20,31.160000000000004,0
2022-05-21,31.009999999999998,0.5
2022-05-22,30.92,0.4
2022-05-23,30.795,0
2022-05-24,30.6,0
2022-05-25,30.574999999999996,0
2022-05-26,30.83,0.8
2022-05-27,30.96,10.1
2022-05-28,31.04,15.3
2022-05-29,30.994999999999997,0.5
2022-05-30,31.085,0
2022-05-31,31.255000000000003,0
2022-06-01,31.305,18.2
2022-06-02,31.29,20.8
2022-06-03,31.29,13.9
2022-06-04,31.259999999999998,0
2022-06-05,31.11,0
2022-06-06,30.86,9.5
2022-06-07,30.515,0
2022-06-08,30.569999999999993,0
2022-06-09,30.585,0
2022-06-10,30.569999999999997,0
2022-06-11,30.395000000000003,0
2022-06-12,30.250000000000004,0
2022-06-13,30.125,2.4
2022-06-14,29.945,0.5
2022-06-15,29.71,0
2022-06-16,29.585,0
2022-06-17,29.514999999999997,1.4
2022-06-18,29.674999999999997,0.1
2022-06-19,29.555,0
2022-06-20,29.545,0
2022-06-21,29.409999999999997,1.9
2022-06-22,29.355,14.9
2022-06-23,29.264999999999993,0
2022-06-24,29.144999999999996,2.9
2022-06-25,28.795,2.8
2022-06-26,28.885,0
2022-06-27,29.585,0
2022-06-28,30.575,0
2022-06-29,31.255000000000003,0
2022-06-30,31.65,0
2022-07-01,31.799999999999997,3.7
2022-07-02,33.38,0.3
2022-07-03,40.03,5.7
2022-07-04,41.01,0.1
2022-07-05,40.61,1.2
2022-07-06,40.135,0
2022-07-07,42.19499999999999,0
2022-07-08,42.09,0
2022-07-09,41.46,0
2022-07-10,40.91,0
2022-07-11,40.285000000000004,0
2022-07-12,39.87,0
2022-07-13,40.824999999999996,0.1
2022-07-14,41.535,0
2022-07-15,40.985,0
2022-07-16,40.405,10.9
2022-07-17,40.24,7
2022-07-18,41.445,0.3
2022-07-19,41.510000000000005,2.1
2022-07-20,41.03,0
2022-07-21,40.739999999999995,0
2022-07-22,43.285,1
2022-07-23,45.519999999999996,0
2022-07-24,45.44499999999999,0
2022-07-25,46.485,0
2022-07-26,47.3,0
2022-07-27,47.22,1.4
2022-07-28,46.28,0
2022-07-29,45.5,0
2022-07-30,44.75999999999999,0
2022-07-31,44.754999999999995,0
2022-08-01,48.36999999999999,0
2022-08-02,48.025000000000006,0
2022-08-03,48.53,1.7
2022-08-04,48.769999999999996,0.4
2022-08-05,48.86999999999999,0
2022-08-06,48.80499999999999,0
2022-08-07,48.614999999999995,0
2022-08-08,48.364999999999995,0
2022-08-09,47.955,0
2022-08-10,47.805,1.7
2022-08-11,47.445,0.5
2022-08-12,47.035,0
2022-08-13,46.63,36.9
