id,type,cha_id,flow,farm_id,farm_area_
"5406",a_198f_2,"356",til,a_198,11.456
"5404",a_195f_1,"356",til,a_195,415.034
"2248",a_110f_2,"92",til,a_110,56.353
"1348",a_078f_1,"61",til,a_078,234.392
"1465",a_079f_4,"62",til,a_079,340.093
"5400",a_196f_1,"356",til,a_196,62.338
"5146",a_113f_1,"318",til,a_113,97.444
"6240",a_220f_1,"416",til,a_220,21.692
"5565",a_199f_1,"365",til,a_199,17.714
"2402",a_114f_1,"99",til,a_114,57.872
"2389",a_111f_1,"99",til,a_111,0.707
"2390",a_112f_2,"99",til,a_112,54.583
"1937",a_106f_3,"75",til,a_106,205.789
"1933",a_107f_1,"75",til,a_107,292.899
"206",a_221f_1,"2",til,a_221,138.540
"1859",a_104f_1,"71",til,a_104,268.665
"102",a_222f_2,"2",til,a_222,0.993
"1993",a_105f_3,"76",til,a_105,85.198
"2035",a_108f_1,"77",til,a_108,38.389
"2206",a_109f_2,"91",til,a_109,107.753
"5283",a_061f_1,"345",til,a_061,133.276
"1129",a_062f_1,"57",til,a_062,0.985
"3418",a_060f_2,"138",til,a_060,271.839
"1132",a_065f_1,"57",til,a_065,0.732
"5047",a_182f_3,"306",til,a_182,88.773
"1133",a_066f_1,"57",til,a_066,81.015
"5142",a_183f_1,"318",til,a_183,99.290
"1130",a_063f_1,"57",til,a_063,0.295
"4891",a_180f_1,"288",til,a_180,0.366
"4926",a_181f_1,"293",til,a_181,16.732
"1131",a_064f_1,"57",til,a_064,3.965
"1258",a_069f_3,"58",til,a_069,209.702
"5183",a_186f_1,"327",til,a_186,1.586
"5184",a_187f_1,"327",til,a_187,8.012
"1217",a_067f_1,"58",til,a_067,6.025
"5141",a_184f_1,"318",til,a_184,5.596
"1219",a_068f_2,"58",til,a_068,298.037
"5144",a_185f_1,"318",til,a_185,9.403
"377",a_018f_1,"7",til,a_018,108.676
"1808",a_102f_1,"70",til,a_102,25.500
"5188",a_188f_1,"327",til,a_188,11.702
"3265",a_103f_1,"132",til,a_103,337.949
"6014",a_019f_1,"406",til,a_019,104.596
"370",a_016f_1,"7",til,a_016,207.040
"1695",a_100f_1,"68",til,a_100,42.409
"5256",a_189f_1,"341",til,a_189,0.815
"3574",a_017f_2,"143",til,a_017,302.816
"1731",a_101f_2,"69",til,a_101,56.731
"3130",a_139f_3,"128",til,a_139,160.832
"2961",a_137f_1,"127",til,a_137,169.712
"2973",a_138f_2,"127",til,a_138,148.130
"1561",a_090f_1,"64",til,a_090,0.132
"1562",a_091f_1,"64",til,a_091,35.449
"1565",a_094f_1,"64",til,a_094,3.978
"293",a_010f_1,"4",til,a_010,2.319
"1566",a_095f_1,"64",til,a_095,15.361
"1563",a_092f_1,"64",til,a_092,82.152
"2505",a_011f_4,"107",til,a_011,197.388
"1564",a_093f_1,"64",til,a_093,2.213
"1661",a_098f_1,"66",til,a_098,197.550
"330",a_014f_1,"6",til,a_014,0.607
"1675",a_099f_2,"67",til,a_099,172.154
"2726",a_131f_1,"114",til,a_131,0.687
"1797",a_096f_1,"70",til,a_096,111.486
"4009",a_132f_1,"171",til,a_132,92.580
"343",a_015f_1,"6",til,a_015,92.694
"4008",a_012f_5,"171",til,a_012,67.394
"1660",a_097f_1,"66",til,a_097,8.635
"2675",a_130f_2,"112",til,a_130,133.141
"344",a_013f_2,"6",til,a_013,155.338
"2879",a_135f_1,"123",til,a_135,1.508
"1935",a_007f_3,"75",til,a_007,316.489
"2171",a_008f_1,"88",til,a_008,30.390
"2954",a_136f_1,"127",til,a_136,195.718
"2732",a_133f_1,"114",til,a_133,6.184
"97",a_005f_1,"2",til,a_005,271.361
"105",a_006f_1,"2",til,a_006,175.562
"2878",a_134f_1,"123",til,a_134,2.904
"2667",a_128f_3,"112",til,a_128,61.106
"2669",a_129f_1,"112",til,a_129,44.283
"2579",a_126f_1,"110",til,a_126,89.158
"269",a_009f_1,"3",til,a_009,64.475
"2582",a_127f_2,"110",til,a_127,253.049
"4533",a_080f_1,"250",til,a_080,191.353
"1495",a_083f_1,"63",til,a_083,148.169
"1546",a_084f_1,"64",til,a_084,14.565
"1464",a_081f_1,"62",til,a_081,131.746
"1494",a_082f_1,"63",til,a_082,184.825
"1557",a_087f_1,"64",til,a_087,12.542
