OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
1,324938,1,ARdy,0,100,4,C,1000,0.5,0.5,loamy_sand,250,1.22,0.25,35.0,3.100,4.0,16.4,79.6,12,0.20,0.1,0,550,1.62,0.20,27.5,0.300,4.0,3.8,92.2,12,0.20,0.1,0,800,1.68,0.20,21.3,0.200,1.0,4.2,94.8,11,0.20,0.1,0,1000,1.75,0.21,11.9,0.100,2.0,5.8,92.2,11,0.20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,324938,1,ARdy-tn,0,100,3,C,1000,0.5,0.5,silt_loam,250,1.44,0.17,7.5,2.200,20.0,55.8,24.2,12,0.20,0.3,0,550,1.62,0.19,16.5,0.300,5.0,13.0,82.0,12,0.20,0.2,0,1000,1.74,0.18,9.1,0.100,5.0,13.0,82.0,11,0.20,0.2,0,0,0.00,0.23,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,324938,1,Mountain,0,100,2,D,500,0.5,0.05,sandy loam ,50,1.10,0.26,5.0,6.000,5.0,22.4,72.6,12,0.20,0.2,0,100,0.70,0.05,0.0,0.100,80.0,15.0,5.0,99,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,324938,1,CMdy,0,100,4,C,1000,0.5,0.5,sandy_loam,250,1.27,0.22,18.2,2.700,7.0,34.5,58.5,12,0.20,0.2,0,450,1.52,0.19,15.3,1.000,7.0,34.5,58.5,13,0.20,0.3,0,650,1.64,0.18,12.7,0.400,7.0,34.5,58.5,13,0.20,0.3,0,1000,1.72,0.00,9.7,0.300,7.0,34.5,58.5,12,0.20,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,324938,1,CMdy-ap,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.37,0.19,27.8,2.500,12.0,21.4,66.6,12,0.20,0.2,0,550,1.60,0.18,14.9,0.400,6.0,32.6,61.4,12,0.20,0.3,0,1000,1.82,0.13,3.7,0.100,20.0,67.2,12.8,12,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,324938,1,CMdy-sl,0,100,3,C,1000,0.5,0.5,silt_loam,250,1.23,0.21,5.0,2.700,8.0,67.7,24.3,11,0.20,0.3,0,550,1.46,0.19,11.4,1.300,8.0,69.0,23.0,12,0.20,0.4,0,1000,1.67,0.18,10.6,0.400,5.0,53.6,41.4,11,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,324938,1,CMeu-sl,0,100,3,D,1000,0.5,0.5,silty_clay_loam,250,1.49,0.17,5.4,2.700,30.0,59.5,10.5,10,0.20,0.3,0,650,1.79,0.10,4.1,0.300,30.0,59.5,10.5,11,0.20,0.4,0,1000,1.91,0.07,2.2,0.100,30.0,59.5,10.5,10,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,324938,1,CMfv,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.32,0.21,16.0,2.200,7.0,38.0,55.0,10,0.20,0.2,0,550,1.59,0.19,15.4,0.400,5.0,30.5,64.5,10,0.20,0.3,0,1000,1.74,0.15,7.1,0.100,9.0,42.6,48.4,9,0.20,0.3,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,324938,1,CMfv-ap,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.25,0.22,16.8,3.000,9.0,36.9,54.1,10,0.20,0.2,0,550,1.59,0.18,15.3,0.400,5.0,40.4,54.6,10,0.20,0.3,0,1000,1.82,0.13,3.7,0.100,20.0,66.3,13.7,9,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,324938,1,CMlen-dy,0,100,2,C,700,0.5,0.5,loam,250,1.23,0.27,13.8,3.200,10.0,42.6,47.4,10,0.20,0.2,0,700,1.65,0.16,12.1,0.400,10.0,29.3,60.7,10,0.20,0.3,0,0,0.00,0.18,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
